Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
ABeeZee,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european extended-latin european well-known common,400 | 400i,,latin | latin-ext,Anja Meiners,182,1805,No,2012-09-30,2025-09-08,https://fonts.google.com/specimen/ABeeZee
ADLaM Display,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,adlam | latin | latin-ext,Mark Jamra | Neil Patel | Andrew Footit,666,364,No,2023-08-14,2025-05-30,https://fonts.google.com/specimen/ADLaM+Display
AR One Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight english western european extended-latin european vietnamese,400 | 500 | 600 | 700,ARRR: - | wght: -,latin | latin-ext | vietnamese,Niteesh Yadav,746,616,No,2023-09-05,2025-09-16,https://fonts.google.com/specimen/AR+One+Sans
Abel,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european popular widely-used,400,,latin,MADType,134,1223,No,2011-08-03,2025-05-30,https://fonts.google.com/specimen/Abel
Abhaya Libre,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european sinhala sri-lankan,400 | 500 | 600 | 700 | 800,,latin | latin-ext | sinhala,Mooniak,410,1601,No,2016-08-30,2025-09-16,https://fonts.google.com/specimen/Abhaya+Libre
Aboreto,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Dominik Jáger,485,186,No,2022-05-26,2025-05-30,https://fonts.google.com/specimen/Aboreto
Abril Fatface,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european well-known common,400,,latin | latin-ext,TypeTogether,161,1860,No,2011-08-31,2025-09-16,https://fonts.google.com/specimen/Abril+Fatface
Abyssinica SIL,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone ethiopic amharic english western european extended-latin european,400,,ethiopic | latin | latin-ext,SIL International,1123,788,No,2016-01-20,2025-09-10,https://fonts.google.com/specimen/Abyssinica+SIL
Aclonica,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Astigmatic,588,1970,No,2011-04-27,2025-09-08,https://fonts.google.com/specimen/Aclonica
Acme,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european well-known common,400,,latin,Juan Pablo del Peral | Huerta Tipográfica,227,1803,No,2011-12-19,2025-09-16,https://fonts.google.com/specimen/Acme
Actor,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european well-known common,400,,latin,Thomas Junold,287,1886,No,2011-08-03,2025-09-10,https://fonts.google.com/specimen/Actor
Adamina,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Cyreal,517,829,No,2011-09-07,2025-09-16,https://fonts.google.com/specimen/Adamina
Advent Pro,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight variable-width russian cyrillic slavic cyrillic extended greek english western european extended-latin european well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wdth: - | wght: -,cyrillic | cyrillic-ext | greek | latin | latin-ext,VivaRado,258,2192,No,2012-02-29,2025-09-16,https://fonts.google.com/specimen/Advent+Pro
Afacad,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic variable variable-font responsive variable-weight cyrillic extended english western european extended-latin european vietnamese multilingual international,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: -,cyrillic-ext | latin | latin-ext | math | symbols | vietnamese,Kristian Möller | Dicotype,475,1797,No,2023-12-04,2025-09-04,https://fonts.google.com/specimen/Afacad
Afacad Flux,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european vietnamese,100 | 1000 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,slnt: - | wght: -,latin | latin-ext | vietnamese,Kristian Möller | Dicotype,745,128,No,2024-09-23,2025-09-08,https://fonts.google.com/specimen/Afacad+Flux
Agbalumo,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention cyrillic extended ethiopic amharic english western european extended-latin european vietnamese,400,,cyrillic-ext | ethiopic | latin | latin-ext | vietnamese,Raphael Alẹ́gbẹ́lẹ́yẹ̀ | Sorkin Type | Eben Sorkin,775,1986,No,2023-10-05,2025-06-25,https://fonts.google.com/specimen/Agbalumo
Agdasima,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400 | 700,,latin | latin-ext,The DocRepair Project | Patric King,812,1723,No,2023-04-02,2025-06-02,https://fonts.google.com/specimen/Agdasima
Agu Display,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention variable variable-font responsive english western european extended-latin european vietnamese,400,MORF: -,latin | latin-ext | vietnamese,Seun Badejo,1582,1604,No,2024-12-09,2025-09-04,https://fonts.google.com/specimen/Agu+Display
Aguafina Script,Handwriting,,Handwriting | Display,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Sudtipos,813,205,No,2011-11-30,2025-09-02,https://fonts.google.com/specimen/Aguafina+Script
Akatab,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible english western european extended-latin european,400 | 500 | 600 | 700 | 800 | 900,,latin | latin-ext | tifinagh,SIL International,966,58,No,2023-06-21,2025-09-10,https://fonts.google.com/specimen/Akatab
Akaya Kanadaka,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention kannada indian english western european extended-latin european,400,,kannada | latin | latin-ext,Vaishnavi Murthy | Juan Luis Blanco,996,72,No,2021-01-14,2025-09-16,https://fonts.google.com/specimen/Akaya+Kanadaka
Akaya Telivigala,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european telugu indian,400,,latin | latin-ext | telugu,Vaishnavi Murthy | Juan Luis Blanco,1366,1498,No,2016-06-15,2025-09-02,https://fonts.google.com/specimen/Akaya+Telivigala
Akronim,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Grzegorz Klimczewski,1222,693,No,2012-09-23,2025-05-30,https://fonts.google.com/specimen/Akronim
